,attributes,price,status,adress,lat,lon
149, 371 m² construidos | 3 recs. ,"4,800,364",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
150, 365 m² construidos | 6 recs. ,"9,900,000",Casa en venta , Cienfuegos - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4927791,-99.1298287
151, 280 m² construidos | 3 recs. ,"9,150,000",Casa en venta , Wilfrido Massieu - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.495299,-99.1365879
152, 234 m² construidos | 3 recs. ,"6,500,000",Casa en venta , MANIZALES - Residencial Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5005442,-99.126119
153, 1 m² construidos ,"4,840,000",Casa en venta , Industrial - Gustavo A. Madero - Distrito Federal ,19.4736233,-99.1248628
154, 310 m² construidos | 4 recs. ,"16,900,000",Casa en venta , WILFRIDO MASSIEU 347 - San Bartolo Atepehuacan - Gustavo A. Madero - Distrito Federal ,19.4978168,-99.1447183
155, 370 m² construidos | 4 recs. ,"3,429,282",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
156, 186 m² construidos | 4 recs. ,"9,500,000",Casa en venta , Torres Lindavista - Gustavo A. Madero - Distrito Federal ,19.5109537,-99.1442316
157, 200 m² construidos | 5 recs. ,"6,000,000",Casa en venta , Oriente 153 1 - Salvador Díaz Mirón - Gustavo A. Madero - Distrito Federal ,19.4864765,-99.1003589
158, 382 m² construidos | 4 recs. ,"13,300,000",Casa en venta , Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.494112,-99.1276295
159, 140 m² construidos | 4 recs. ,"4,450,000",Casa en venta , Industrial 0 - Industrial - Gustavo A. Madero - Distrito Federal ,19.4736233,-99.1248628
160, 360 m² construidos | 5 recs. ,"7,500,000",Casa en venta , Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4908853,-99.1331631
161, 159 m² construidos | 3 recs. ,"4,980,000",Casa en venta , Manaos 0 - San Pedro Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5082719,-99.1216215
162, 255 m² construidos | 3 recs. ,"6,500,000",Casa en venta , Diamante - Estrella - Gustavo A. Madero - Distrito Federal ,19.4756965,-99.1175085
163, 287 m² construidos | 5 recs. ,"7,150,000",Casa en venta , Av Bonao 113 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.5010874,-99.1296937
164, 266 m² construidos | 3 recs. ,"7,000,000",Casa en venta , Arequipa 891 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4923104,-99.1213717
165, 382 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Coquimbo 669 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4869719,-99.1280392
166, 208 m² construidos | 3 recs. ,"4,800,000",Casa en venta , 7 de Noviembre - Gustavo A. Madero - Distrito Federal ,19.4612738,-99.1214045
